activity,6,12,25,50,Trade-off,Opt. rate
null,0.647474,0.680086,0.690034,0.683468,0.006566,25 Hz
bench-dips,0.614847,0.581049,0.565322,0.640758,0.000000,50 Hz
burpees,0.551314,0.591015,0.602717,0.584181,0.018536,25 Hz
jogging,0.815479,0.834164,0.830981,0.862886,0.000000,50 Hz
jogging (butt-kicks),0.739519,0.785252,0.775936,0.801742,0.000000,50 Hz
jogging (rotating arms),0.697434,0.771611,0.773876,0.791940,0.000000,50 Hz
jogging (sidesteps),0.858042,0.868393,0.870703,0.884798,0.000000,50 Hz
jogging (skipping),0.767023,0.831223,0.827773,0.852493,0.000000,50 Hz
lunges,0.496279,0.514877,0.535600,0.542363,0.000000,50 Hz
lunges (complex),0.621531,0.621198,0.627868,0.641104,0.000000,50 Hz
push-ups,0.510136,0.505967,0.466355,0.575755,0.000000,50 Hz
push-ups (complex),0.579381,0.578231,0.571962,0.597009,0.000000,50 Hz
sit-ups,0.660030,0.634526,0.630820,0.662217,0.000000,50 Hz
sit-ups (complex),0.674551,0.676453,0.675478,0.662413,0.014040,12 Hz
stretching (hamstrings),0.691278,0.676657,0.673854,0.727648,0.000000,50 Hz
stretching (lumbar rotation),0.851276,0.845103,0.853358,0.870591,0.000000,50 Hz
stretching (lunging),0.676856,0.694493,0.701202,0.700290,0.000913,25 Hz
stretching (shoulders),0.650432,0.646958,0.660376,0.669439,0.000000,50 Hz
stretching (triceps),0.771305,0.758550,0.759996,0.827217,0.000000,50 Hz
