activity,f1,rate,split,csv_path
null,0.716734,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
bench-dips,0.854701,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
burpees,0.793143,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
jogging,0.835905,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
jogging (butt-kicks),0.433697,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
jogging (rotating arms),0.390651,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
jogging (sidesteps),0.896996,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
jogging (skipping),0.604027,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
lunges,0.536036,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
lunges (complex),0.760369,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
push-ups,0.539936,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
push-ups (complex),0.642398,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
sit-ups,0.808179,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
sit-ups (complex),0.685846,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
stretching (hamstrings),0.658135,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
stretching (lumbar rotation),0.882922,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
stretching (lunging),0.924901,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
stretching (shoulders),0.788906,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
stretching (triceps),0.846847,6,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_6hz.csv
null,0.743822,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
bench-dips,0.863931,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
burpees,0.829596,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
jogging,0.840520,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
jogging (butt-kicks),0.603448,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
jogging (rotating arms),0.533128,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
jogging (sidesteps),0.904512,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
jogging (skipping),0.699407,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
lunges,0.521635,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
lunges (complex),0.762840,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
push-ups,0.554859,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
push-ups (complex),0.702202,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
sit-ups,0.802846,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
sit-ups (complex),0.708531,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
stretching (hamstrings),0.612022,12,loso_sbj_0,logs/deepconvlstm/50hz/loso_sbj_0/per_class_metrics_loso_sbj_0_12hz.csv
