activity,6,12,25,50,Trade-off,Opt. rate
null,0.531718,0.511818,0.532931,0.531446,0.001485,25 Hz
bench-dips,0.608332,0.640385,0.638089,0.648507,0.000000,50 Hz
burpees,0.441551,0.470665,0.553308,0.594686,0.000000,50 Hz
jogging,0.749872,0.800803,0.844951,0.881197,0.000000,50 Hz
jogging (butt-kicks),0.655886,0.715590,0.791487,0.827141,0.000000,50 Hz
jogging (rotating arms),0.602185,0.674200,0.767606,0.796440,0.000000,50 Hz
jogging (sidesteps),0.732261,0.787876,0.848469,0.882806,0.000000,50 Hz
jogging (skipping),0.651772,0.725372,0.824575,0.878486,0.000000,50 Hz
lunges,0.433960,0.431477,0.461563,0.494868,0.000000,50 Hz
lunges (complex),0.579139,0.574357,0.606933,0.606341,0.000592,25 Hz
push-ups,0.561035,0.563820,0.606485,0.587855,0.018629,25 Hz
push-ups (complex),0.558643,0.579353,0.625851,0.617314,0.008537,25 Hz
sit-ups,0.626624,0.620579,0.643488,0.655086,0.000000,50 Hz
sit-ups (complex),0.643730,0.636445,0.671428,0.694520,0.000000,50 Hz
stretching (hamstrings),0.718650,0.711245,0.711520,0.711090,0.007560,6 Hz
stretching (lumbar rotation),0.876404,0.890572,0.889308,0.890830,0.000000,50 Hz
stretching (lunging),0.612894,0.622694,0.641711,0.653394,0.000000,50 Hz
stretching (shoulders),0.535978,0.542635,0.535255,0.545382,0.000000,50 Hz
stretching (triceps),0.711148,0.737661,0.744745,0.759239,0.000000,50 Hz
