activity,f1,rate,split,csv_path
null,0.648384,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
bench-dips,0.843184,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
burpees,0.557368,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging,0.843328,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging (butt-kicks),0.552123,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging (rotating arms),0.423678,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging (sidesteps),0.727992,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
jogging (skipping),0.561462,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
lunges,0.395933,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
lunges (complex),0.732972,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
push-ups,0.677078,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
push-ups (complex),0.562532,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
sit-ups,0.717224,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
sit-ups (complex),0.600025,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (hamstrings),0.769356,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (lumbar rotation),0.940129,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (lunging),0.820736,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (shoulders),0.674369,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
stretching (triceps),0.796798,6,loso_sbj_0,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
null,0.626433,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
bench-dips,0.820829,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
burpees,0.312541,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging,0.244121,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (butt-kicks),0.629642,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (rotating arms),0.396135,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (sidesteps),0.584207,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
jogging (skipping),0.492041,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
lunges,0.335142,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
lunges (complex),0.628672,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
push-ups,0.537166,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
push-ups (complex),0.776978,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
sit-ups,0.615169,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
sit-ups (complex),0.571380,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (hamstrings),0.799881,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (lumbar rotation),0.944202,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (lunging),0.658228,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (shoulders),0.732336,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
stretching (triceps),0.787776,6,loso_sbj_1,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
null,0.087804,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
bench-dips,0.903969,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
burpees,0.582789,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging,0.742945,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (butt-kicks),0.788686,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (rotating arms),0.000000,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (sidesteps),0.859506,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
jogging (skipping),0.455044,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
lunges,0.212006,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
lunges (complex),0.762868,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
push-ups,0.000000,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
push-ups (complex),0.616531,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
sit-ups,0.612731,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
sit-ups (complex),0.819798,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (hamstrings),0.636265,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (lumbar rotation),0.985489,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
stretching (lunging),0.000791,6,loso_sbj_2,logs/deepconvlstm/standard_cnn/6hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
