model,rate_hz,activity,mean,std,n
deepconvlstm,6,climbingdown,0.5944545195011511,0.23758061650559467,13
deepconvlstm,6,climbingup,0.6745588668043212,0.24709137508273482,13
deepconvlstm,6,jumping,0.7180748703892367,0.19617179335150875,13
deepconvlstm,6,loso_sbj_0,0.666721716818236,,1
deepconvlstm,6,loso_sbj_1,0.6339874406340684,,1
deepconvlstm,6,loso_sbj_11,0.8949645627862511,,1
deepconvlstm,6,loso_sbj_13,0.6503009915845808,,1
deepconvlstm,6,loso_sbj_14,0.590763379113739,,1
deepconvlstm,6,loso_sbj_2,0.3455946906097384,,1
deepconvlstm,6,loso_sbj_3,0.7614732490133538,,1
deepconvlstm,6,loso_sbj_4,0.7777396268733923,,1
deepconvlstm,6,loso_sbj_5,0.7395017574925572,,1
deepconvlstm,6,loso_sbj_6,0.8033359728130446,,1
deepconvlstm,6,loso_sbj_7,0.488741945769263,,1
deepconvlstm,6,loso_sbj_8,0.8358397471838598,,1
deepconvlstm,6,loso_sbj_9,0.8073066646427911,,1
deepconvlstm,6,lying,0.9724722419680796,0.03710328493933701,13
deepconvlstm,6,running,0.7280278658022084,0.25704238790221146,13
deepconvlstm,6,sitting,0.6542291285901395,0.32601426695602953,13
deepconvlstm,6,standing,0.5454230394695844,0.3210330965387967,13
deepconvlstm,6,walking,0.6489266953736641,0.2455527104263278,13
deepconvlstm,12,climbingdown,0.642839116607367,0.22404726837082312,16
deepconvlstm,12,climbingup,0.7144762619890435,0.21840511046491157,16
deepconvlstm,12,jumping,0.8568117071927003,0.14077278189279047,16
deepconvlstm,12,loso_sbj_0,0.7087363523163487,,1
deepconvlstm,12,loso_sbj_1,0.6420931909163365,,1
deepconvlstm,12,loso_sbj_10,0.8614712751696861,,1
deepconvlstm,12,loso_sbj_11,0.9136226081473622,,1
deepconvlstm,12,loso_sbj_12,0.7606548024557216,0.043368613085232044,2
deepconvlstm,12,loso_sbj_13,0.6901799256829105,,1
deepconvlstm,12,loso_sbj_14,0.7395936500657541,,1
deepconvlstm,12,loso_sbj_2,0.3870712159183462,,1
deepconvlstm,12,loso_sbj_3,0.7473924360424757,,1
deepconvlstm,12,loso_sbj_4,0.8085364692890462,,1
deepconvlstm,12,loso_sbj_5,0.7852587435989414,,1
deepconvlstm,12,loso_sbj_6,0.7999644724110538,,1
deepconvlstm,12,loso_sbj_7,0.6476120040083866,,1
deepconvlstm,12,loso_sbj_8,0.8724393333146092,,1
deepconvlstm,12,loso_sbj_9,0.8635221253919121,,1
deepconvlstm,12,lying,0.9757683846284011,0.024183689148120763,16
deepconvlstm,12,running,0.801809683864064,0.2458320587365113,16
deepconvlstm,12,sitting,0.6693455209240409,0.31092848946650803,16
deepconvlstm,12,standing,0.6386578580797864,0.2661559285351443,16
deepconvlstm,12,walking,0.694693170306903,0.234920325717645,16
deepconvlstm,25,climbingdown,0.6662884105760262,0.25527185542613323,15
deepconvlstm,25,climbingup,0.7205855357128551,0.2155571332720604,15
deepconvlstm,25,jumping,0.850233426166025,0.1569153745284299,15
deepconvlstm,25,loso_sbj_0,0.6975036498547194,,1
deepconvlstm,25,loso_sbj_1,0.6760337235782004,,1
deepconvlstm,25,loso_sbj_10,0.8684168350048797,,1
deepconvlstm,25,loso_sbj_11,0.9088825678126965,,1
deepconvlstm,25,loso_sbj_12,0.8013766811753569,,1
deepconvlstm,25,loso_sbj_13,0.7347742802540995,,1
deepconvlstm,25,loso_sbj_14,0.7180914338632368,,1
deepconvlstm,25,loso_sbj_2,0.40786187458306083,,1
deepconvlstm,25,loso_sbj_3,0.7877279457857358,,1
deepconvlstm,25,loso_sbj_4,0.824721776791163,,1
deepconvlstm,25,loso_sbj_5,0.8240532957073745,,1
deepconvlstm,25,loso_sbj_6,0.8132639642469696,,1
deepconvlstm,25,loso_sbj_7,0.6061914501999033,,1
deepconvlstm,25,loso_sbj_8,0.8798669790903766,,1
deepconvlstm,25,loso_sbj_9,0.8637345544446121,,1
deepconvlstm,25,lying,0.9756633497764159,0.021379967228787336,15
deepconvlstm,25,running,0.7899667787143227,0.250842839635301,15
deepconvlstm,25,sitting,0.7156914915442054,0.3131543204751689,15
deepconvlstm,25,standing,0.6537891357029242,0.27556540669335533,15
deepconvlstm,25,walking,0.7144490784164972,0.25800129245605374,15
deepconvlstm,50,climbingdown,0.6842901368898969,0.23880773429579838,15
deepconvlstm,50,climbingup,0.7216837063829935,0.22990058189797413,15
deepconvlstm,50,jumping,0.8462471777162237,0.1691463396177648,15
deepconvlstm,50,loso_sbj_0,0.711712568671627,,1
deepconvlstm,50,loso_sbj_1,0.6403381667024588,,1
deepconvlstm,50,loso_sbj_10,0.8724820612720017,,1
deepconvlstm,50,loso_sbj_11,0.9206564223096249,,1
deepconvlstm,50,loso_sbj_12,0.8111880691127363,,1
deepconvlstm,50,loso_sbj_13,0.7745219384100648,,1
deepconvlstm,50,loso_sbj_14,0.6904952463959746,,1
deepconvlstm,50,loso_sbj_2,0.40843964604405625,,1
deepconvlstm,50,loso_sbj_3,0.7616209987685775,,1
deepconvlstm,50,loso_sbj_4,0.8329680264889315,,1
deepconvlstm,50,loso_sbj_5,0.8041057796454071,,1
deepconvlstm,50,loso_sbj_6,0.7964952969644931,,1
deepconvlstm,50,loso_sbj_7,0.6394810538718954,,1
deepconvlstm,50,loso_sbj_8,0.8857294877790448,,1
deepconvlstm,50,loso_sbj_9,0.8723035814290392,,1
deepconvlstm,50,lying,0.9735764902832572,0.03567797095490627,15
deepconvlstm,50,running,0.7988079877131768,0.25448465708756723,15
deepconvlstm,50,sitting,0.699888673791527,0.2775197705266617,15
deepconvlstm,50,standing,0.6408300753508935,0.26532589670655576,15
deepconvlstm,50,walking,0.7266962019338621,0.23998899498995513,15
pure_cnn,6,climbingdown,0.4528038837615588,0.21440354403187636,13
pure_cnn,6,climbingup,0.5982763413985878,0.2453497665087111,13
pure_cnn,6,jumping,0.4270219182248592,0.16691315805977994,13
pure_cnn,6,loso_sbj_0,0.48483179882001537,,1
pure_cnn,6,loso_sbj_1,0.5352562702496713,,1
pure_cnn,6,loso_sbj_11,0.7866659103105641,,1
pure_cnn,6,loso_sbj_13,0.5044763003384634,,1
pure_cnn,6,loso_sbj_14,0.5440996055185321,,1
pure_cnn,6,loso_sbj_2,0.313902999498416,,1
pure_cnn,6,loso_sbj_3,0.6459798845489612,,1
pure_cnn,6,loso_sbj_4,0.6603375785163705,,1
pure_cnn,6,loso_sbj_5,0.6251814928461016,,1
pure_cnn,6,loso_sbj_6,0.6834731678149284,,1
pure_cnn,6,loso_sbj_7,0.4442963266327224,,1
pure_cnn,6,loso_sbj_8,0.757194797893034,,1
pure_cnn,6,loso_sbj_9,0.7337584518671298,,1
pure_cnn,6,lying,0.94702308272603,0.10369764310273864,13
pure_cnn,6,running,0.5990923312425758,0.20603812214477363,13
pure_cnn,6,sitting,0.7159146831507521,0.35343603044585653,13
pure_cnn,6,standing,0.5803168636831756,0.289000563477146,13
pure_cnn,6,walking,0.4299844864924054,0.19993135829288441,13
pure_cnn,12,climbingdown,0.610935285629427,0.21462547028108672,16
pure_cnn,12,climbingup,0.6730795862381408,0.20456354344912894,16
pure_cnn,12,jumping,0.7782227663966896,0.2563910689210231,16
pure_cnn,12,loso_sbj_0,0.6640097304021055,,1
pure_cnn,12,loso_sbj_1,0.6307224109880437,,1
pure_cnn,12,loso_sbj_10,0.8765652722200226,,1
pure_cnn,12,loso_sbj_11,0.9181603986638928,,1
pure_cnn,12,loso_sbj_12,0.6521459496749287,0.10577587491939788,2
pure_cnn,12,loso_sbj_13,0.6231477159419381,,1
pure_cnn,12,loso_sbj_14,0.7524326030315969,,1
pure_cnn,12,loso_sbj_2,0.3413520928044217,,1
pure_cnn,12,loso_sbj_3,0.7811055054207552,,1
pure_cnn,12,loso_sbj_4,0.8091810748047046,,1
pure_cnn,12,loso_sbj_5,0.7130596877721722,,1
pure_cnn,12,loso_sbj_6,0.83136235991936,,1
pure_cnn,12,loso_sbj_7,0.670988337209856,,1
pure_cnn,12,loso_sbj_8,0.8563061567097088,,1
pure_cnn,12,loso_sbj_9,0.8303490453742011,,1
pure_cnn,12,lying,0.9755886684657761,0.022906496685177788,16
pure_cnn,12,running,0.7995638557618548,0.22005753739655387,16
pure_cnn,12,sitting,0.6953442424325652,0.35246582783855207,16
pure_cnn,12,standing,0.6264055027314728,0.26782331095059814,16
pure_cnn,12,walking,0.642377237650392,0.22721828451677856,16
pure_cnn,25,climbingdown,0.6819497526576247,0.23380366941398753,15
pure_cnn,25,climbingup,0.7076470460358515,0.19220914233597525,15
pure_cnn,25,jumping,0.83964257763966,0.22185400850549994,15
pure_cnn,25,loso_sbj_0,0.6601445869826332,,1
pure_cnn,25,loso_sbj_1,0.6513656589734549,,1
pure_cnn,25,loso_sbj_10,0.9005973469095467,,1
pure_cnn,25,loso_sbj_11,0.9251599437591058,,1
pure_cnn,25,loso_sbj_12,0.7422880412099668,,1
pure_cnn,25,loso_sbj_13,0.6869479360928752,,1
pure_cnn,25,loso_sbj_14,0.754814650032731,,1
pure_cnn,25,loso_sbj_2,0.3242230510272934,,1
pure_cnn,25,loso_sbj_3,0.7974370902851856,,1
pure_cnn,25,loso_sbj_4,0.8236646149692441,,1
pure_cnn,25,loso_sbj_5,0.7538784047478067,,1
pure_cnn,25,loso_sbj_6,0.8460843470767969,,1
pure_cnn,25,loso_sbj_7,0.6689405148712773,,1
pure_cnn,25,loso_sbj_8,0.878098200504358,,1
pure_cnn,25,loso_sbj_9,0.8183672879450593,,1
pure_cnn,25,lying,0.9750761542752049,0.02924181358007647,15
pure_cnn,25,running,0.8095183754355786,0.2593628392184813,15
pure_cnn,25,sitting,0.6602836737270531,0.3532449858038521,15
pure_cnn,25,standing,0.5954329054763119,0.2552818319854668,15
pure_cnn,25,walking,0.720855741625961,0.22103824638136535,15
pure_cnn,50,climbingdown,0.6932135151618039,0.23986949916500536,15
pure_cnn,50,climbingup,0.7266278665561999,0.19025148329725125,15
pure_cnn,50,jumping,0.8473470276305153,0.21676130548922656,15
pure_cnn,50,loso_sbj_0,0.7213088916891759,,1
pure_cnn,50,loso_sbj_1,0.6370997242509375,,1
pure_cnn,50,loso_sbj_10,0.8999156435821224,,1
pure_cnn,50,loso_sbj_11,0.925553150230802,,1
pure_cnn,50,loso_sbj_12,0.7554873440026685,,1
pure_cnn,50,loso_sbj_13,0.6804679508244305,,1
pure_cnn,50,loso_sbj_14,0.7687377888605839,,1
pure_cnn,50,loso_sbj_2,0.34695471849021575,,1
pure_cnn,50,loso_sbj_3,0.7966979905797654,,1
pure_cnn,50,loso_sbj_4,0.831253013911357,,1
pure_cnn,50,loso_sbj_5,0.7469975791606523,,1
pure_cnn,50,loso_sbj_6,0.8450910120471758,,1
pure_cnn,50,loso_sbj_7,0.6798692521952858,,1
pure_cnn,50,loso_sbj_8,0.8775017122570833,,1
pure_cnn,50,loso_sbj_9,0.8330486259266088,,1
pure_cnn,50,lying,0.9496864104162718,0.10012150934881953,15
pure_cnn,50,running,0.8111966955904139,0.2646542998269523,15
pure_cnn,50,sitting,0.6645412958350466,0.34669400511213033,15
pure_cnn,50,standing,0.6038740342574608,0.24983443184053672,15
pure_cnn,50,walking,0.7547048334903491,0.2209299814864866,15
