model,rate_hz,split,activity,f1,source
pure_cnn,12,loso_sbj_0,walking,0.5319221577330147,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,12,loso_sbj_0,running,0.8586714222024074,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,12,loso_sbj_0,sitting,0.6553838606818739,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,12,loso_sbj_0,standing,0.1808318264014466,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,12,loso_sbj_0,lying,0.9812431040823832,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,12,loso_sbj_0,jumping,0.9550561797752808,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,12,loso_sbj_0,climbingup,0.6377376889322282,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,12,loso_sbj_0,climbingdown,0.5112316034082107,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,12,loso_sbj_1,walking,0.77,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,12,loso_sbj_1,running,0.6789178152118428,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,12,loso_sbj_1,sitting,0.0031007751937984,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,12,loso_sbj_1,standing,0.6492385786802031,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,12,loso_sbj_1,lying,0.991819244253993,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,12,loso_sbj_1,jumping,0.3950870010235414,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,12,loso_sbj_1,climbingup,0.8030519790176442,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,12,loso_sbj_1,climbingdown,0.7545638945233266,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,12,loso_sbj_10,walking,0.7722772277227723,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,12,loso_sbj_10,running,0.9358922008983258,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,12,loso_sbj_10,sitting,0.9393203883495146,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,12,loso_sbj_10,standing,0.892066734763364,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,12,loso_sbj_10,lying,0.9767790262172285,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,12,loso_sbj_10,jumping,0.947103274559194,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
pure_cnn,12,loso_sbj_10,climbingup,0.8360655737704918,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_10/per_class_metrics_loso_sbj_10.csv
