model,rate_hz,split,activity,f1,source
pure_cnn,10,loso_sbj_0,A,0.7804878048780488,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,B,0.994413407821229,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,C,0.7332382310984308,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,D,0.0,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,E,0.502498215560314,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,F,0.0,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,G,0.0,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,H,0.0,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,I,0.0,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,J,0.0,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,K,0.0,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,L,0.0,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,M,0.1698113207547169,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,O,0.4871134020618556,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,P,0.646074646074646,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,Q,0.0049301561216105,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,R,0.0,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_0,S,0.4175563463819691,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,10,loso_sbj_1,A,0.6618313689936537,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,10,loso_sbj_1,B,0.9227600411946448,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
pure_cnn,10,loso_sbj_1,C,0.5011185682326622,logs/deepconvlstm/lstm_vs_cnn/wisdm_watch/pure_cnn/10hz/loso_sbj_1/per_class_metrics_loso_sbj_1.csv
