model,rate_hz,activity,mean,n_subjects,std
deepconvlstm,5,A,0.4133199278180507,44,0.2845624612143418
deepconvlstm,5,B,0.625813795194353,44,0.30845832149249736
deepconvlstm,5,C,0.3736427603509464,44,0.22054412864139883
deepconvlstm,5,D,0.19712894545063134,44,0.28949106657102136
deepconvlstm,5,E,0.43717038318059614,44,0.3517623082743873
deepconvlstm,5,F,0.14741050253777618,44,0.2699658642515899
deepconvlstm,5,G,0.09406585468977914,44,0.19206560080280327
deepconvlstm,5,H,0.07963955854735821,44,0.1841783138590032
deepconvlstm,5,I,0.0918241138858593,44,0.17509273789765048
deepconvlstm,5,J,0.12481425054494873,44,0.25237643886042416
deepconvlstm,5,K,0.08133252957823413,44,0.19956497752798802
deepconvlstm,5,L,0.17166182385461345,44,0.2730373351330102
deepconvlstm,5,M,0.2949157103366457,43,0.16144983694002574
deepconvlstm,5,O,0.21364102113101358,42,0.18743465256386896
deepconvlstm,5,P,0.18695338759258723,41,0.17737617635240546
deepconvlstm,5,Q,0.1220667369600674,41,0.26476381716269304
deepconvlstm,5,R,0.150228642944553,40,0.24417647794101016
deepconvlstm,5,S,0.19966094365967862,33,0.1913224609080106
deepconvlstm,10,A,0.4809179233004823,46,0.2909439991303208
deepconvlstm,10,B,0.7336128689002562,46,0.31599764891578913
deepconvlstm,10,C,0.4471544036727663,46,0.24991850903429305
deepconvlstm,10,D,0.23984885757291463,46,0.2814926836704949
deepconvlstm,10,E,0.43281186767924085,46,0.3608806167886598
deepconvlstm,10,F,0.12256123720471243,46,0.24191637442190173
deepconvlstm,10,G,0.13036991500704756,46,0.20721330850735598
deepconvlstm,10,H,0.0676652266046846,46,0.1700787251605118
deepconvlstm,10,I,0.10091669459907457,46,0.196079949836047
deepconvlstm,10,J,0.06430850896826398,46,0.17255691329256048
deepconvlstm,10,K,0.05819153184995934,46,0.1348932270116855
deepconvlstm,10,L,0.15181862380341354,45,0.25014025711732607
deepconvlstm,10,M,0.2860036050430651,45,0.18686615718531355
deepconvlstm,10,O,0.23394489022640078,44,0.22061049395358942
deepconvlstm,10,P,0.2790680616723567,43,0.2365064472723031
deepconvlstm,10,Q,0.12790033973606754,42,0.24854536007496283
deepconvlstm,10,R,0.1535063752556049,40,0.25848314166901104
deepconvlstm,10,S,0.2767791954399881,34,0.20726393450304567
deepconvlstm,20,A,0.4947744341350451,49,0.3231387464241339
deepconvlstm,20,B,0.7418318164750377,49,0.30597866164001336
deepconvlstm,20,C,0.4716088574723108,49,0.23425513325667038
deepconvlstm,20,D,0.23852753556263773,49,0.3016147693717812
deepconvlstm,20,E,0.41011281152002904,49,0.34877120853428734
deepconvlstm,20,F,0.1348312139996294,49,0.2587901482018515
deepconvlstm,20,G,0.14184261263729953,49,0.24562736320126027
deepconvlstm,20,H,0.0943897776585532,49,0.1922326202739062
deepconvlstm,20,I,0.07949373802349823,49,0.16061135289198364
deepconvlstm,20,J,0.09892105516492386,49,0.19673338701782292
deepconvlstm,20,K,0.05517182993777989,49,0.13515722151465923
deepconvlstm,20,L,0.15933714241570182,48,0.23965899305470145
deepconvlstm,20,M,0.26460366743570674,48,0.19471265529704798
deepconvlstm,20,O,0.22035561736470374,48,0.21258080434366203
deepconvlstm,20,P,0.30921693475842277,48,0.26487785507706724
deepconvlstm,20,Q,0.0955775502643655,46,0.22149213131301657
deepconvlstm,20,R,0.14886987054661643,42,0.2521406199452612
deepconvlstm,20,S,0.2864081678837323,35,0.22204638389817546
pure_cnn,5,A,0.2745261930105949,44,0.22536371993470627
pure_cnn,5,B,0.4828008852084633,44,0.3088235817590607
pure_cnn,5,C,0.2738283326823026,44,0.21193327460242944
pure_cnn,5,D,0.21140078129755996,44,0.29324051510250043
pure_cnn,5,E,0.44144734910638805,44,0.3392879408472681
pure_cnn,5,F,0.04573448125750652,44,0.17227173543276642
pure_cnn,5,G,0.04486165734140749,44,0.11156386493811336
pure_cnn,5,H,0.06645845306212295,44,0.21334661809022018
pure_cnn,5,I,0.08200320065958994,44,0.17506774367881972
pure_cnn,5,J,0.0758639188137892,43,0.19637867883432708
pure_cnn,5,K,0.06658905911628694,43,0.1910471887366907
pure_cnn,5,L,0.18957774607940353,42,0.25405694354479746
pure_cnn,5,M,0.1798374891471222,41,0.15817791288910793
pure_cnn,5,O,0.23183784689124048,41,0.2252341842278484
pure_cnn,5,P,0.15954439171780768,41,0.20870388653171956
pure_cnn,5,Q,0.09077114483059245,41,0.21221356871852884
pure_cnn,5,R,0.10788878440642354,38,0.16887372745910006
pure_cnn,5,S,0.16521101702737276,33,0.18601065018006796
pure_cnn,10,A,0.4964121535487975,46,0.27456716405644355
pure_cnn,10,B,0.7382626911075698,46,0.3129308662088926
pure_cnn,10,C,0.4115819877358393,46,0.21950055660448975
pure_cnn,10,D,0.21835687692574468,46,0.28326347744605057
pure_cnn,10,E,0.4310987948505955,46,0.3527578772313027
pure_cnn,10,F,0.0845950164650318,46,0.20857117492041743
