dataset,model,rate_hz,activity,folds,mean,std,min,max
rwhar,deepconvlstm,6,0,15,0.6612047839898583,0.22998871989961708,0.0,0.8964439234075811
rwhar,deepconvlstm,6,1,15,0.7438275158897917,0.24246400908979052,0.0037735849056603,0.968421052631579
rwhar,deepconvlstm,6,2,15,0.6508914405458466,0.3111665167119842,0.0046118370484242,0.9900763358778626
rwhar,deepconvlstm,6,3,15,0.5732583595231485,0.3075059353883825,0.0,0.9153439153439152
rwhar,deepconvlstm,6,4,15,0.972611939987155,0.034370135330751984,0.8501118568232662,0.9922118380062306
rwhar,deepconvlstm,6,5,15,0.7276444869781713,0.18402730683343677,0.3943089430894309,0.9368932038834952
rwhar,deepconvlstm,6,6,15,0.6883060622506623,0.23236690130012644,0.0426240426240426,0.8992850481815355
rwhar,deepconvlstm,6,7,15,0.6054936830043758,0.2218785547921861,0.0,0.8278598192638307
rwhar,deepconvlstm,6,loso_sbj_0,1,0.666721716818236,,0.666721716818236,0.666721716818236
rwhar,deepconvlstm,6,loso_sbj_1,1,0.6339874406340684,,0.6339874406340684,0.6339874406340684
rwhar,deepconvlstm,6,loso_sbj_10,1,0.8173114529295189,,0.8173114529295189,0.8173114529295189
rwhar,deepconvlstm,6,loso_sbj_11,1,0.8949645627862511,,0.8949645627862511,0.8949645627862511
rwhar,deepconvlstm,6,loso_sbj_12,1,0.7299885620524984,,0.7299885620524984,0.7299885620524984
rwhar,deepconvlstm,6,loso_sbj_13,1,0.6503009915845808,,0.6503009915845808,0.6503009915845808
rwhar,deepconvlstm,6,loso_sbj_14,1,0.590763379113739,,0.590763379113739,0.590763379113739
rwhar,deepconvlstm,6,loso_sbj_2,1,0.3455946906097384,,0.3455946906097384,0.3455946906097384
rwhar,deepconvlstm,6,loso_sbj_3,1,0.7614732490133538,,0.7614732490133538,0.7614732490133538
rwhar,deepconvlstm,6,loso_sbj_4,1,0.7777396268733923,,0.7777396268733923,0.7777396268733923
rwhar,deepconvlstm,6,loso_sbj_5,1,0.7395017574925572,,0.7395017574925572,0.7395017574925572
rwhar,deepconvlstm,6,loso_sbj_6,1,0.8033359728130446,,0.8033359728130446,0.8033359728130446
