dataset,model,rate_hz,split,best_f1,finished,log_file
rwhar,deepconvlstm,6,loso_sbj_0,0.6667000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_0.out
rwhar,deepconvlstm,6,loso_sbj_1,0.634,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_1.out
rwhar,deepconvlstm,6,loso_sbj_10,0.8173,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_10.out
rwhar,deepconvlstm,6,loso_sbj_11,0.895,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_11.out
rwhar,deepconvlstm,6,loso_sbj_12,0.73,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_12.out
rwhar,deepconvlstm,6,loso_sbj_13,0.6503,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_13.out
rwhar,deepconvlstm,6,loso_sbj_14,0.5908,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_14.out
rwhar,deepconvlstm,6,loso_sbj_2,0.3456,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_2.out
rwhar,deepconvlstm,6,loso_sbj_3,0.7615000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_3.out
rwhar,deepconvlstm,6,loso_sbj_4,0.7777,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_4.out
rwhar,deepconvlstm,6,loso_sbj_5,0.7395,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_5.out
rwhar,deepconvlstm,6,loso_sbj_6,0.8033,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_6.out
rwhar,deepconvlstm,6,loso_sbj_7,0.48869999999999997,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_7.out
rwhar,deepconvlstm,6,loso_sbj_8,0.8358,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_8.out
rwhar,deepconvlstm,6,loso_sbj_9,0.8073,True,slurm_logs/lstm_vs_cnn_rwhar_lstm_6hz_11863906_9.out
rwhar,deepconvlstm,12,loso_sbj_0,0.7087,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_0.out
rwhar,deepconvlstm,12,loso_sbj_1,0.6420999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_1.out
rwhar,deepconvlstm,12,loso_sbj_10,0.8615,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_10.out
rwhar,deepconvlstm,12,loso_sbj_11,0.9136,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_11.out
rwhar,deepconvlstm,12,loso_sbj_12,0.7913,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_12.out
rwhar,deepconvlstm,12,loso_sbj_13,0.6901999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_13.out
rwhar,deepconvlstm,12,loso_sbj_14,0.7395999999999999,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_14.out
rwhar,deepconvlstm,12,loso_sbj_2,0.3871,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_2.out
rwhar,deepconvlstm,12,loso_sbj_3,0.7474,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_3.out
rwhar,deepconvlstm,12,loso_sbj_4,0.8085,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_4.out
rwhar,deepconvlstm,12,loso_sbj_5,0.7853,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_5.out
rwhar,deepconvlstm,12,loso_sbj_6,0.8,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_6.out
rwhar,deepconvlstm,12,loso_sbj_7,0.6476000000000001,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_7.out
rwhar,deepconvlstm,12,loso_sbj_8,0.8724,True,slurm_logs/lstm_vs_cnn_rwhar_deepconvlstm_12hz_11863944_8.out
