dataset,model,rate_hz,split,best_f1,finished,log_file
wisdm_watch,deepconvlstm,5,loso_sbj_0,0.19219999999999998,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_0.out
wisdm_watch,deepconvlstm,5,loso_sbj_1,0.2852,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_1.out
wisdm_watch,deepconvlstm,5,loso_sbj_10,0.22920000000000001,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_10.out
wisdm_watch,deepconvlstm,5,loso_sbj_11,0.201,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_11.out
wisdm_watch,deepconvlstm,5,loso_sbj_12,0.2259,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_12.out
wisdm_watch,deepconvlstm,5,loso_sbj_13,0.1974,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_13.out
wisdm_watch,deepconvlstm,5,loso_sbj_14,0.2254,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_14.out
wisdm_watch,deepconvlstm,5,loso_sbj_15,0.26289999999999997,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_15.out
wisdm_watch,deepconvlstm,5,loso_sbj_16,0.10289999999999999,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_16.out
wisdm_watch,deepconvlstm,5,loso_sbj_17,0.2505,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_17.out
wisdm_watch,deepconvlstm,5,loso_sbj_18,0.2888,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_18.out
wisdm_watch,deepconvlstm,5,loso_sbj_19,0.2804,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_19.out
wisdm_watch,deepconvlstm,5,loso_sbj_2,0.2473,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_2.out
wisdm_watch,deepconvlstm,5,loso_sbj_20,0.11449999999999999,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_20.out
wisdm_watch,deepconvlstm,5,loso_sbj_21,0.1925,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_21.out
wisdm_watch,deepconvlstm,5,loso_sbj_22,0.24280000000000002,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_22.out
wisdm_watch,deepconvlstm,5,loso_sbj_23,0.2437,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_23.out
wisdm_watch,deepconvlstm,5,loso_sbj_24,0.16399999999999998,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_24.out
wisdm_watch,deepconvlstm,5,loso_sbj_25,0.0622,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_25.out
wisdm_watch,deepconvlstm,5,loso_sbj_26,0.264,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_26.out
wisdm_watch,deepconvlstm,5,loso_sbj_27,0.10060000000000001,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_27.out
wisdm_watch,deepconvlstm,5,loso_sbj_28,0.1702,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_28.out
wisdm_watch,deepconvlstm,5,loso_sbj_29,0.2398,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_29.out
wisdm_watch,deepconvlstm,5,loso_sbj_3,0.2473,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_3.out
wisdm_watch,deepconvlstm,5,loso_sbj_30,0.1396,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_30.out
wisdm_watch,deepconvlstm,5,loso_sbj_31,0.21420000000000003,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_31.out
wisdm_watch,deepconvlstm,5,loso_sbj_32,0.3078,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_32.out
wisdm_watch,deepconvlstm,5,loso_sbj_33,0.1356,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_33.out
wisdm_watch,deepconvlstm,5,loso_sbj_34,0.25980000000000003,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_34.out
wisdm_watch,deepconvlstm,5,loso_sbj_35,0.0935,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_35.out
wisdm_watch,deepconvlstm,5,loso_sbj_36,0.16570000000000001,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_36.out
wisdm_watch,deepconvlstm,5,loso_sbj_37,0.3044,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_37.out
wisdm_watch,deepconvlstm,5,loso_sbj_38,0.2425,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_38.out
wisdm_watch,deepconvlstm,5,loso_sbj_39,0.26039999999999996,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_39.out
wisdm_watch,deepconvlstm,5,loso_sbj_4,0.2778,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_4.out
wisdm_watch,deepconvlstm,5,loso_sbj_40,0.2097,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_40.out
wisdm_watch,deepconvlstm,5,loso_sbj_41,0.209,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_41.out
wisdm_watch,deepconvlstm,5,loso_sbj_42,0.1679,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_42.out
wisdm_watch,deepconvlstm,5,loso_sbj_43,0.22089999999999999,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_43.out
wisdm_watch,deepconvlstm,5,loso_sbj_44,0.2225,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_44.out
wisdm_watch,deepconvlstm,5,loso_sbj_45,0.2565,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_45.out
wisdm_watch,deepconvlstm,5,loso_sbj_46,0.195,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_46.out
wisdm_watch,deepconvlstm,5,loso_sbj_47,0.3661,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_47.out
wisdm_watch,deepconvlstm,5,loso_sbj_48,0.19210000000000002,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_48.out
wisdm_watch,deepconvlstm,5,loso_sbj_49,0.2838,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_49.out
wisdm_watch,deepconvlstm,5,loso_sbj_5,0.2274,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_5.out
wisdm_watch,deepconvlstm,5,loso_sbj_50,0.15259999999999999,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_50.out
wisdm_watch,deepconvlstm,5,loso_sbj_6,0.1182,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_6.out
wisdm_watch,deepconvlstm,5,loso_sbj_7,0.2672,True,slurm_logs/lstm_vs_cnn_wisdm_lstm_5hz_11876174_7.out
